Dataset size,Uniform distribution,Normal Distribution,Overlap Distribution
10000,0.2506875,1.453720833,0.7909833333
20000,0.227275,1.697729167,1.19279375
30000,0.2197277778,1.8154375,1.241906944
40000,0.2573739583,1.966413542,1.332911458
50000,0.2711483333,2.075350833,1.354660833
60000,0.2631895833,2.029066667,1.423836111
70000,0.2539309524,2.02538631,1.44511369
80000,0.2491416667,2.165683333,1.390228646
90000,0.3013416667,2.154944444,1.582061111
100000,0.2634366667,2.16958125,1.561325833
110000,0.3318969697,2.074586364,1.531727652
120000,0.324790625,2.190061458,1.576661458
130000,0.2867310897,2.2617375,1.534350321
140000,0.3521119048,2.224547917,1.601487798
150000,0.3251727778,2.23637,1.575765833
160000,0.3461916667,2.195174479,1.613311458
170000,0.2938093137,2.274607108,1.669725245
180000,0.3373013889,2.241572685,1.653196759
190000,0.3627199561,2.235517982,1.636600658
200000,0.374716875,2.266849792,1.659794583
210000,0.3287501984,2.231809325,1.639212103
220000,0.3681905303,2.246325189,1.713542424
230000,0.3631280797,2.25039221,1.673464312
240000,0.3839918403,2.330259028,1.670856424
250000,0.400954,2.244665,1.637420333
260000,0.3447926282,2.351774359,1.699965865
270000,0.358878858,2.270110802,1.709025617
280000,0.373224256,2.342186161,1.733085565
290000,0.3933413793,2.333537356,1.740736925
300000,0.4127334722,2.349066389,1.684574444
310000,0.4024426075,2.372765188,1.788508065
320000,0.4008247396,2.336503516,1.751814323
330000,0.3707204545,2.397221591,1.751605177
340000,0.4046330882,2.391247672,1.735463848
350000,0.3915939286,2.346034762,1.749812738
360000,0.3842950231,2.316070139,1.725317014
370000,0.423830518,2.356310698,1.775102027
380000,0.3875251096,2.39464057,1.77134989
390000,0.3944777778,2.363902778,1.728832585
400000,0.3914402083,2.395735104,1.776344271
410000,0.4182129065,2.331282114,1.785524593
420000,0.3705074405,2.395034524,1.789745833
430000,0.4057435078,2.312262112,1.770329554
440000,0.4165085227,2.396501042,1.84959697
450000,0.4368739815,2.364288796,1.781038796
460000,0.4304375906,2.484281884,1.750403986
470000,0.4096490248,2.322900887,1.712155496
480000,0.4323412326,2.34749349,1.772364236
490000,0.4570738946,2.473713861,1.765180952
500000,0.41683725,2.356910583,1.738596083
510000,0.4328383987,2.346828513,1.852314951
520000,0.4409473558,2.402223558,1.770738782
530000,0.4030294811,2.380306132,1.821782704
540000,0.4162340278,2.370801235,1.810248688
550000,0.4402931818,2.416906894,1.771317879
560000,0.4524605655,2.433250744,1.793417783
570000,0.4212902047,2.38319905,1.834340351
580000,0.4467304598,2.487979454,1.889448563
590000,0.4227819915,2.418851624,1.757033545
600000,0.4239854861,2.449409444,1.804892083
610000,0.4627953552,2.414914208,1.826206967
620000,0.4567078629,2.362938777,1.838199462
630000,0.4042973545,2.476880886,1.795639683
640000,0.4328772786,2.412109831,1.754439453
650000,0.4276321154,2.436538654,1.793273205
660000,0.4498777778,2.438149747,1.848842235
670000,0.4446573383,2.399287251,1.869014614
680000,0.4494498775,2.436146569,1.791087255
690000,0.4455016908,2.497425423,1.864742572
700000,0.4397938095,2.415405595,1.838035119
710000,0.4267681338,2.488905223,1.861302523
720000,0.4519529514,2.432211053,1.775483623
730000,0.4602081621,2.449539269,1.833865068
740000,0.4710495495,2.510720777,1.798297691
750000,0.4489033889,2.390437,1.825568944
760000,0.4471586075,2.3975642,1.819865296
770000,0.4466161797,2.451325162,1.864861418
780000,0.4564035256,2.403164103,1.858731303
790000,0.4608496835,2.40119731,1.84757115
800000,0.4426421354,2.433144792,1.853481875
810000,0.4342414609,2.438372222,1.875395576
820000,0.4680609756,2.448734604,1.86185249
830000,0.4254707329,2.360680422,1.85195261
840000,0.416308631,2.478212698,1.832742708
850000,0.4776570588,2.471866961,1.820868235
860000,0.4786077519,2.444576453,1.904745785
870000,0.4465408525,2.500758956,1.897801916
880000,0.4542066288,2.455345644,1.861045502
890000,0.4618541199,2.485040449,1.927329401
900000,0.4566873611,2.48756875,1.911216065
910000,0.4372458333,2.366447527,1.862288736
920000,0.4353014946,2.47844846,1.88523827
930000,0.4435806452,2.53428069,1.918598746
940000,0.4641888741,2.450331206,1.866913785
950000,0.4576561842,2.529133553,1.879508465
960000,0.4508932726,2.423711328,1.904691363
970000,0.4614639605,2.43427006,1.898933849
980000,0.4538729167,2.415908801,1.857256973
990000,0.4603073232,2.46644798,1.896342635
1000000,0.460077125,2.519251333,1.94569675